Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
1,atsui,58.156,7.5,1.0,3.526,12.5,18.0,125.5,7,5,0,2
4,watashiii,41.844,3.0,0.0,4.051,5.0,3.0,141.0,3,2,1,1
21,PoolNoodle,68.217,8.0,0.0,3.693,8.0,39.0,129.0,0,6,0,1
32,beanman87,90.541,15.0,0.0,3.127,18.0,60.0,148.0,1,5,0,1
51,Chata,75.373,7.0,0.0,3.587,11.333,34.333,147.667,12,5,1,3
59,neoburnz,44.758,2.5,0.5,4.23,6.0,10.5,130.0,2,10,0,2
64,Yokipi,74.01,9.25,0.0,3.417,14.75,34.75,139.75,12,9,3,4
80,moosepi,37.255,1.0,5.0,3.982,3.0,11.0,153.0,2,4,0,1
87,Beokros,40.945,4.0,0.0,4.385,10.0,2.0,127.0,5,1,0,1
121,Janoxx,24.359,1.0,5.0,4.526,3.0,2.0,156.0,4,1,1,1
147,thjalago,52.682,5.0,0.667,3.966,9.0,18.667,139.0,10,7,1,3
150,Bommie,34.646,1.0,1.0,4.886,3.0,5.0,127.0,5,1,0,1
160,Skychael,36.029,0.0,0.0,5.184,3.0,5.0,136.0,0,6,0,1
171,JustAWeirdo,22.093,0.5,1.0,4.948,4.0,2.5,129.0,4,8,0,2
185,MintyDude,30.944,3.5,2.5,4.067,7.0,0.5,138.5,5,7,0,2
263,Tvaz,25.748,0.5,2.25,4.766,1.5,1.25,140.75,15,7,2,4
289,Provenance,37.008,0.0,1.0,4.894,1.0,2.0,127.0,2,3,1,1
292,FeyFey,25.496,0.333,2.333,5.271,2.333,2.333,141.333,6,11,1,3
376,qwecocacola,24.207,1.333,2.333,4.751,2.667,1.667,133.0,7,10,1,3
379,CipherKai,34.351,2.0,1.0,5.067,2.0,2.0,131.0,5,1,0,1
399,ElJuanchi,21.512,0.5,2.0,4.568,1.5,3.5,146.0,6,6,0,2
405,anicomi,9.449,2.0,3.0,6.0,2.0,0.0,127.0,5,1,0,1
428,SaoriHayami,30.37,0.0,1.0,5.732,1.0,3.0,135.0,4,1,1,1
431,Luna,34.6,0.667,4.0,4.456,3.667,5.333,157.333,5,11,2,3
437,Loomi,25.984,1.0,0.0,5.152,1.0,3.0,127.0,2,3,1,1
453,RyoutaVN,25.735,2.0,0.0,5.457,5.0,1.0,136.0,0,6,0,1
479,NMapper,54.661,2.333,0.667,4.014,7.0,6.667,132.0,14,3,1,3
485,labranche,54.674,6.0,1.0,3.53,9.333,22.667,137.333,10,6,2,3
487,Aleksandy,19.108,0.667,4.667,4.832,2.0,1.0,133.0,5,12,1,3
