Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
16,yahallonyanpasu,37.349,3.0,4.0,4.258,14.0,8.0,6,0,0,38.0,24.0,55.0,17.0,11.0,4.0,2.0,0.0,3.782,166.0,1
34,YuriMeguri,70.76,4.0,0.0,4.38,13.0,25.0,2,3,1,55.0,66.0,72.0,17.0,8.0,5.0,3.0,1.0,4.125,171.0,1
58,Lika,58.065,7.0,0.0,3.759,17.0,8.0,3,2,0,29.0,25.0,31.0,2.0,10.0,2.0,0.0,0.0,2.871,93.0,1
59,neoburnz,67.529,3.8,0.0,4.459,9.0,20.4,8,17,1,43.4,50.0,48.0,4.6,6.6,0.8,2.2,0.8,4.121,138.4,5
77,neptune,60.874,0.5,0.0,4.534,5.0,20.0,9,2,0,52.5,39.0,56.0,3.5,3.5,1.5,1.5,0.0,3.948,150.0,2
79,JuliAless64,52.565,2.0,0.0,4.992,5.0,10.5,2,9,0,56.5,20.0,71.0,14.5,5.5,2.5,3.0,0.0,4.436,145.0,2
82,ShiinaMahiru,64.502,3.4,0.2,4.421,9.4,15.4,15,11,1,28.8,54.2,30.0,1.2,2.8,0.0,0.4,0.8,4.019,127.6,5
97,chaabdu92,33.846,4.0,4.0,4.773,5.0,5.0,3,2,0,31.0,13.0,40.0,9.0,6.0,4.0,1.0,0.0,4.0,130.0,1
100,IrinaShidou,58.955,2.0,0.0,4.519,5.0,9.0,3,2,0,57.0,22.0,73.0,16.0,5.0,3.0,1.0,0.0,3.918,134.0,1
119,Fumiii,66.087,3.5,0.0,4.679,9.667,16.333,17,15,1,73.167,27.167,77.667,4.5,4.5,0.833,0.833,0.167,4.569,151.833,6
121,Janoxx,28.786,5.667,2.667,4.016,12.667,3.0,9,7,1,17.667,18.0,18.0,0.333,9.333,0.333,0.0,0.333,2.485,125.333,3
134,Jakemonkey,43.284,3.0,0.0,4.414,11.0,3.0,3,2,0,29.0,29.0,33.0,4.0,2.0,1.0,0.0,0.0,3.97,134.0,1
143,mahzrunner,54.734,2.0,0.0,4.625,8.75,8.0,10,12,0,44.0,35.25,51.75,7.75,4.75,1.25,0.75,0.75,4.154,144.5,4
149,Zozo,54.504,3.75,1.0,4.382,9.0,11.0,8,14,0,40.5,32.0,46.5,6.0,4.5,1.25,1.5,1.0,4.011,132.25,4
150,Bommie,59.526,1.75,1.0,4.993,5.5,7.5,9,12,0,67.0,20.5,71.0,4.0,2.25,1.0,0.75,0.25,4.776,146.5,4
159,legrandort,36.296,4.0,0.0,4.857,5.0,5.0,3,3,0,33.0,16.0,35.0,2.0,5.0,0.0,0.0,0.0,4.486,135.0,1
164,IAmAsianNoob,44.643,0.0,0.0,5.493,2.0,3.0,4,2,0,43.0,32.0,47.0,4.0,0.0,0.0,2.0,0.0,5.298,168.0,1
171,JustAWeirdo,34.616,1.5,1.25,5.218,3.75,4.25,9,12,1,25.75,21.75,28.0,2.25,6.25,0.75,0.0,0.0,5.011,137.0,4
174,TateyamaAyano,27.972,1.0,10.0,5.225,3.0,3.0,0,5,0,30.0,10.0,47.0,17.0,7.0,4.0,1.0,0.0,3.915,143.0,1
176,Spitzell,52.357,2.667,0.333,4.85,6.333,8.667,9,7,0,42.0,24.333,46.0,4.0,6.667,0.333,1.0,0.333,4.474,127.667,3
191,redeyes,51.493,2.0,2.0,4.826,7.0,15.0,2,3,0,52.0,17.0,72.0,20.0,3.0,3.0,4.0,0.0,4.347,134.0,1
205,TBDhater,47.572,3.0,0.5,4.751,10.0,7.0,6,4,0,51.0,13.0,63.5,12.5,4.5,1.0,1.0,0.0,4.28,134.5,2
217,ShelterRin,56.703,1.5,0.0,4.878,3.0,11.0,3,8,1,46.5,46.5,51.0,4.5,1.5,2.5,0.0,0.0,4.502,165.0,2
225,MythAndroid,17.391,1.0,0.0,5.062,2.0,0.0,3,2,0,15.0,1.0,36.0,21.0,6.0,2.0,2.0,0.0,3.667,92.0,1
238,Progenitor,49.324,5.0,0.0,4.37,15.0,4.0,2,3,1,40.0,33.0,49.0,9.0,8.0,2.0,1.0,1.0,3.592,148.0,1
244,KNotAnyMore,49.698,1.4,0.8,4.89,7.0,5.4,14,13,0,40.8,23.2,50.4,9.6,3.0,1.0,1.8,0.6,4.429,128.0,5
247,Shadow,50.629,1.833,0.333,4.948,6.167,4.5,15,17,0,44.833,20.5,51.5,6.667,3.833,1.167,2.0,0.0,4.421,128.167,6
259,Patoche49,38.636,1.333,0.667,5.484,4.333,2.0,12,4,0,33.333,21.0,36.667,3.333,1.333,0.333,0.667,0.333,5.23,140.667,3
268,civiltwlight,47.826,5.0,0.0,3.977,10.0,7.0,3,2,0,16.0,28.0,24.0,8.0,7.0,4.0,1.0,1.0,2.375,92.0,1
274,Mami,45.07,4.0,2.0,4.938,6.0,10.0,4,1,0,25.0,39.0,31.0,6.0,8.0,2.0,0.0,0.0,3.839,142.0,1
277,chemist,39.744,2.0,1.0,5.2,6.5,3.0,8,3,0,14.5,46.5,15.5,1.0,4.0,0.5,0.0,0.0,3.814,151.5,2
291,ss_r_white_pony,46.667,5.0,0.0,3.976,9.0,5.0,2,3,0,27.0,15.0,29.0,2.0,7.0,1.0,1.0,0.0,3.379,90.0,1
322,Catge,39.706,1.75,0.5,5.13,4.0,4.75,7,13,0,30.75,19.25,35.0,4.25,1.75,0.75,0.75,0.75,4.629,124.25,4
325,Swapin,39.316,1.0,0.0,5.13,5.0,1.0,3,2,0,29.0,17.0,41.0,12.0,9.0,3.0,3.0,0.0,4.366,117.0,1
326,pomo,49.224,3.333,0.667,4.78,6.333,10.333,8,8,0,48.0,19.667,62.667,14.667,8.0,3.0,4.0,0.333,4.023,137.0,3
334,2skr,36.182,1.2,2.6,4.971,6.0,5.0,15,11,1,29.6,19.2,32.6,3.0,6.2,0.8,0.2,0.0,4.105,133.8,5
335,xeyz,28.604,0.625,2.125,5.437,2.625,1.625,19,25,0,35.375,3.75,98.375,63.0,5.875,6.25,8.625,0.0,3.799,135.375,8
353,Solosion,51.668,3.333,1.667,5.01,6.667,7.0,8,7,0,33.333,34.333,36.333,3.0,6.0,0.667,1.0,0.667,4.495,128.667,3
356,Isekaijoucho,48.547,0.5,0.5,4.894,4.0,9.0,6,5,0,34.5,26.5,47.0,12.5,3.5,1.0,1.5,0.0,4.278,126.0,2
357,chommy,39.724,2.0,2.0,4.656,7.25,5.5,15,7,0,23.25,28.25,23.5,0.25,4.75,0.0,0.25,0.5,4.476,129.0,4
358,mangoss,58.075,2.0,0.0,4.647,6.333,10.0,8,7,1,47.667,25.333,51.333,3.667,5.0,0.333,1.0,0.333,4.515,125.667,3
366,AitsukiNakuru,46.667,2.0,0.0,4.5,5.0,2.0,2,3,0,22.0,20.0,37.0,15.0,4.0,1.0,6.0,2.0,3.459,90.0,1
367,PotassiumF,43.413,3.5,0.0,5.05,7.5,3.5,6,5,1,47.0,21.5,51.5,4.5,3.0,1.5,0.0,0.5,4.619,158.5,2
376,qwecocacola,48.031,0.0,0.0,4.508,6.0,7.0,3,3,0,29.0,32.0,31.0,2.0,3.0,1.0,0.0,0.0,4.355,127.0,1
378,erzakuran,10.698,0.5,5.5,4.15,2.0,2.0,5,6,0,11.0,1.0,19.0,8.0,1.5,0.5,2.0,0.0,3.44,112.5,2
393,Kyuuuu,38.69,2.0,1.0,5.169,3.0,7.0,4,2,0,50.0,15.0,62.0,12.0,6.0,0.0,0.0,0.0,4.806,168.0,1
394,Komari,71.97,9.0,1.0,4.337,16.0,16.0,4,1,0,53.0,42.0,57.0,4.0,3.0,0.0,0.0,2.0,4.368,132.0,1
399,ElJuanchi,33.044,1.667,0.667,5.206,4.0,2.0,14,18,1,23.667,20.333,28.0,4.333,2.167,1.167,0.833,0.5,4.674,132.333,6
405,anicomi,21.7,0.5,0.5,4.882,3.5,2.5,6,5,0,17.5,7.5,30.0,12.5,3.5,1.0,1.0,0.0,4.035,110.0,2
413,zokie,36.264,4.0,1.0,4.424,6.0,3.0,2,3,0,23.0,10.0,28.0,5.0,1.0,1.0,3.0,0.0,3.786,91.0,1
417,YellowRose,42.411,3.75,1.25,4.918,8.25,5.0,11,11,0,40.25,19.25,48.5,8.25,4.5,1.75,1.75,0.5,4.31,139.75,4
419,keysha18,42.646,2.0,1.25,5.388,4.25,2.25,12,9,0,38.75,21.0,47.75,9.0,2.75,1.25,0.5,0.0,4.808,139.5,4
430,HaruUrara,57.143,3.0,1.0,4.203,8.0,11.0,3,2,0,34.0,30.0,39.0,5.0,6.0,0.0,0.0,0.0,3.615,112.0,1
431,Luna,36.554,0.0,2.0,5.802,1.333,4.333,8,7,0,22.0,27.0,30.0,8.0,1.333,0.667,1.333,0.0,4.784,133.333,3
432,Deja_,47.064,3.333,1.333,4.424,6.667,11.0,7,9,1,47.667,17.0,51.667,4.0,6.333,1.0,1.0,0.0,4.126,137.0,3
451,AkatsukiKirika,38.656,1.0,0.333,5.428,2.333,3.333,6,10,0,25.333,26.0,27.333,2.0,1.333,0.333,0.333,0.667,5.419,130.333,3
453,RyoutaVN,33.333,1.0,4.0,4.625,2.0,9.0,1,4,0,24.0,16.0,25.0,1.0,5.0,0.0,0.0,0.0,3.8,120.0,1
462,hakohoka,14.939,1.0,3.0,4.922,3.25,2.25,10,11,1,12.25,7.75,12.5,0.25,3.0,0.0,0.0,0.0,4.344,133.25,4
466,metak,34.783,1.0,2.0,5.768,2.0,3.0,3,1,1,42.0,14.0,52.0,10.0,5.0,0.0,0.0,0.0,5.404,161.0,1
489,zomg,30.154,3.333,2.167,4.678,6.667,2.0,16,16,1,19.0,17.833,24.667,5.667,6.0,1.0,0.0,0.0,3.604,120.667,6
493,chiabobo,6.289,0.0,13.0,5.8,0.0,1.0,1,5,0,5.0,5.0,49.0,44.0,1.0,2.0,0.0,0.0,4.653,159.0,1
495,AppuruPai,32.576,0.0,5.0,5.907,2.0,2.0,2,3,0,31.0,12.0,48.0,17.0,3.0,3.0,0.0,0.0,4.833,132.0,1
505,MaikaSasaki,46.032,3.0,0.0,4.966,7.0,4.0,3,2,0,38.0,20.0,54.0,16.0,6.0,2.0,1.0,1.0,4.426,126.0,1
