Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
16,yahallonyanpasu,42.391,7.0,0.0,3.179,10.0,12.0,3,2,0,14.0,25.0,21.0,7.0,5.0,1.0,2.0,2.0,2.381,92.0,1
20,kar72,73.344,4.0,0.0,3.997,11.0,23.667,18,14,1,39.0,61.0,42.333,3.333,7.0,0.667,1.333,1.167,3.851,136.5,6
26,asleep,62.308,5.0,0.0,3.802,16.0,12.0,3,3,0,31.0,50.0,32.0,1.0,2.0,0.0,0.0,2.0,3.688,130.0,1
27,Deafness,81.29,6.0,0.0,3.857,15.0,33.0,2,4,0,87.0,39.0,89.0,2.0,8.0,0.0,0.0,0.0,3.764,155.0,1
31,SakurabaRola,55.99,3.0,0.0,4.085,10.0,9.5,6,5,0,42.0,30.5,55.5,13.5,8.0,4.0,1.5,0.5,3.33,129.5,2
33,Tsui,61.404,2.0,0.0,3.857,6.0,24.0,1,4,0,14.0,56.0,20.0,6.0,4.0,2.0,1.0,1.0,3.05,114.0,1
37,claydoll1091,51.288,5.333,0.0,3.813,9.111,13.0,26,22,1,19.889,42.222,22.556,2.667,6.889,0.444,0.889,2.0,3.169,121.111,9
38,Diukes,65.784,4.7,0.5,3.765,10.6,17.9,26,21,1,38.2,35.0,46.9,8.7,6.3,1.3,1.7,1.3,3.52,111.4,10
40,FUCK_AMQ,25.758,2.0,0.0,3.588,6.0,6.0,5,1,0,23.0,11.0,46.0,23.0,4.0,0.0,5.0,0.0,2.913,132.0,1
41,koroshiya,67.036,8.667,0.167,3.543,13.667,20.667,15,16,0,28.0,48.833,32.833,4.833,5.0,1.333,1.833,6.167,2.949,115.167,6
45,LeNainDuPSG,50.885,2.0,0.0,4.264,9.0,9.0,6,4,0,30.0,27.5,39.5,9.5,5.0,0.5,3.0,0.0,3.49,113.0,2
46,Orfey,39.196,2.9,0.9,4.061,6.7,7.3,33,21,2,26.8,22.3,33.9,7.1,6.6,0.7,0.8,0.4,3.64,124.7,10
51,Chata,53.704,4.0,1.0,4.017,7.0,6.0,3,2,0,23.0,35.0,25.0,2.0,3.0,0.0,0.0,2.0,3.68,108.0,1
52,Thaleko,69.988,4.5,0.0,3.871,11.0,14.5,5,5,0,26.5,43.0,27.0,0.5,6.5,0.0,0.5,0.5,3.258,100.0,2
58,Lika,48.182,9.0,0.0,3.434,16.0,12.0,4,2,0,24.0,29.0,26.0,2.0,6.0,0.0,1.0,2.0,2.577,110.0,1
59,neoburnz,65.718,1.0,0.0,4.618,6.0,10.0,4,4,1,43.0,28.5,45.0,2.0,2.5,0.0,0.5,0.0,4.614,107.5,2
65,Baguett,51.22,2.0,0.0,3.786,7.0,7.0,3,2,0,18.0,24.0,19.0,1.0,4.0,0.0,1.0,0.0,3.579,82.0,1
66,bamboo,45.509,3.0,0.167,4.027,6.167,8.667,7,20,0,21.833,25.0,21.833,0.0,5.167,0.0,0.0,0.167,3.501,103.0,6
67,DKing20,36.301,2.0,0.0,3.887,8.0,5.0,3,3,0,30.0,23.0,31.0,1.0,7.0,0.0,0.0,0.0,3.484,146.0,1
76,comfv,33.57,2.5,0.0,4.058,6.5,5.5,5,6,0,18.5,21.5,21.0,2.5,3.0,0.5,1.0,0.0,3.223,118.5,2
77,neptune,55.963,0.0,0.0,4.066,2.0,13.0,0,5,0,34.0,27.0,39.0,5.0,1.0,1.0,3.0,0.0,3.821,109.0,1
79,JuliAless64,47.788,1.0,0.0,3.963,2.0,11.0,1,5,0,37.0,17.0,41.0,4.0,1.0,0.0,2.0,0.0,3.78,113.0,1
81,Pile,40.012,3.5,1.0,3.996,9.0,10.5,7,5,0,40.5,12.5,56.0,15.5,4.5,1.0,3.0,0.5,3.312,129.0,2
82,ShiinaMahiru,54.971,2.0,0.0,4.214,6.167,10.833,16,14,3,28.5,46.667,29.5,1.0,4.5,0.5,0.167,0.167,3.839,136.167,6
83,Milar,47.414,2.0,0.0,3.697,9.0,9.0,5,6,1,25.5,27.5,30.0,4.5,4.0,1.0,1.0,0.0,2.902,112.0,2
85,Animerod,38.411,0.0,2.0,4.466,3.0,11.0,3,2,1,34.0,24.0,39.0,5.0,4.0,0.0,2.0,0.0,3.897,151.0,1
87,Beokros,50.268,3.857,0.143,4.132,8.714,12.0,17,22,2,39.857,22.0,46.286,6.429,6.714,0.429,2.571,0.286,3.562,123.571,7
88,Emdiel,44.697,6.0,0.0,4.068,9.0,5.0,4,2,0,37.0,22.0,48.0,11.0,8.0,3.0,4.0,0.0,3.25,132.0,1
90,Keizan,26.51,3.5,0.0,3.352,5.5,8.5,8,4,0,19.5,13.5,23.0,3.5,10.0,0.0,0.0,0.0,2.912,124.0,2
97,chaabdu92,40.153,2.2,0.2,4.161,5.2,5.4,14,9,0,24.4,15.0,26.6,2.2,5.0,0.4,0.8,0.2,3.706,101.0,5
98,Comete,41.553,1.667,0.333,4.133,8.333,6.333,6,11,0,24.333,27.333,30.333,6.0,5.667,0.333,1.0,0.0,3.59,121.0,3
100,IrinaShidou,41.6,0.0,0.0,4.731,2.0,1.0,4,1,0,38.0,14.0,60.0,22.0,7.0,2.0,3.0,0.0,3.817,125.0,1
104,joey,28.049,5.0,0.0,3.435,5.0,4.0,3,2,0,15.0,8.0,20.0,5.0,7.0,0.0,3.0,0.0,2.55,82.0,1
106,cafezinho,44.473,3.0,0.0,3.932,8.0,12.0,15,9,0,37.0,15.0,46.25,9.25,6.75,1.5,2.25,0.25,3.271,116.0,4
112,Legitted,54.717,0.0,0.0,4.707,8.0,0.0,4,1,0,22.0,36.0,22.0,0.0,5.0,0.0,0.0,0.0,4.318,106.0,1
113,Maki,50.847,1.0,1.0,4.278,9.0,20.0,2,3,1,65.0,25.0,74.0,9.0,8.0,2.0,0.0,1.0,4.027,177.0,1
114,Mayottatoki,37.984,0.0,0.0,4.878,3.0,3.0,3,2,1,26.0,23.0,43.0,17.0,4.0,5.0,2.0,0.0,3.86,129.0,1
115,Saiki,29.527,3.667,0.667,3.748,7.444,6.333,29,23,0,19.111,16.111,19.667,0.556,6.889,0.111,0.111,0.444,3.226,120.444,9
119,Fumiii,43.709,2.0,0.0,4.182,6.0,17.0,3,2,1,46.0,20.0,46.0,0.0,4.0,0.0,0.0,0.0,3.674,151.0,1
121,Janoxx,30.66,2.5,0.5,3.676,7.5,5.5,26,27,0,16.3,14.8,16.4,0.1,5.7,0.0,0.0,0.2,2.819,102.2,10
123,Konsumenci,22.727,2.0,1.0,4.1,3.0,3.0,3,3,0,13.0,7.0,16.0,3.0,4.0,1.0,1.0,0.0,3.062,88.0,1
128,apurplenose,58.184,3.0,0.0,4.474,9.5,10.0,6,5,1,35.5,46.0,37.5,2.0,4.0,0.0,0.5,1.0,4.23,139.0,2
129,peeku,54.639,3.0,0.0,3.906,9.0,5.0,3,2,0,29.0,24.0,33.0,4.0,7.0,2.0,2.0,0.0,3.333,97.0,1
133,ChrisLefko,21.481,0.0,0.0,4.414,3.0,4.0,2,4,0,23.0,6.0,36.0,13.0,12.0,0.0,3.0,0.0,3.667,135.0,1
134,Jakemonkey,46.98,2.0,1.0,4.814,8.0,6.0,3,3,0,38.0,32.0,40.0,2.0,8.0,0.0,1.0,0.0,4.4,149.0,1
140,denero,24.576,1.0,0.0,4.172,4.0,3.0,1,5,0,20.0,9.0,26.0,6.0,4.0,0.0,3.0,0.0,3.577,118.0,1
144,liljakatsuragi,33.149,0.75,0.25,4.275,3.0,3.5,4,10,0,18.5,9.0,23.75,5.25,3.5,0.75,1.5,0.0,3.606,81.75,4
146,tapumomo,44.123,3.5,0.5,4.27,10.0,5.5,6,5,0,30.0,23.5,31.5,1.5,5.0,0.5,0.0,0.5,3.732,122.0,2
148,uy5gf,25.532,1.0,0.0,3.0,5.0,2.0,1,2,0,10.0,2.0,17.0,7.0,2.0,0.0,1.0,0.0,2.588,47.0,1
149,Zozo,47.788,2.0,1.0,4.13,11.0,9.0,2,3,0,28.0,26.0,33.0,5.0,2.0,0.0,2.0,2.0,4.091,113.0,1
150,Bommie,36.508,0.0,0.0,4.845,3.0,2.5,3,7,0,35.0,7.5,50.0,15.0,0.5,1.0,3.0,0.0,4.228,117.0,2
155,Unborned,22.004,1.5,0.0,4.695,4.5,2.5,5,5,1,25.5,4.0,41.0,15.5,8.0,2.0,1.5,0.0,3.966,130.5,2
157,CM02,33.246,1.5,0.0,4.099,5.0,12.0,6,6,0,33.0,10.5,36.5,3.5,4.5,1.5,0.5,0.5,3.71,131.0,2
159,legrandort,38.707,0.0,0.0,4.647,4.0,9.5,3,7,1,36.0,23.0,36.5,0.5,5.0,0.0,0.5,0.0,4.329,151.5,2
160,Skychael,34.961,2.3,0.7,4.054,6.3,6.1,31,16,1,23.8,16.1,27.0,3.2,6.5,1.0,0.6,0.0,3.354,112.9,10
164,IAmAsianNoob,29.365,0.0,0.0,4.973,2.0,4.0,2,3,0,21.0,16.0,27.0,6.0,2.0,1.0,0.0,0.0,4.333,126.0,1
