Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
8,Hejsan,47.332,3.5,0.0,4.625,10.5,8.0,156.5,7,3,2,2
20,kar72,55.782,8.0,1.0,4.171,16.0,17.0,147.0,4,2,0,1
38,Diukes,48.554,8.5,2.0,3.946,15.5,9.5,129.5,9,2,1,2
41,koroshiya,57.048,10.5,0.0,3.784,15.5,24.0,170.5,5,5,2,2
44,Nicole,44.152,5.0,0.5,4.434,10.0,5.0,152.0,5,7,0,2
46,Orfey,36.31,4.0,0.0,4.41,5.0,12.0,168.0,1,4,1,1
50,Sniparook,57.857,9.0,0.0,3.728,15.0,21.0,140.0,3,3,0,1
51,Chata,38.69,1.0,1.0,4.677,3.0,10.0,168.0,4,2,0,1
52,Thaleko,58.282,3.0,0.0,4.558,9.0,22.0,163.0,4,2,0,1
76,comfv,51.2,4.0,0.0,3.516,14.0,16.0,125.0,3,3,0,1
81,Pile,29.808,2.0,1.0,4.0,5.0,5.0,104.0,6,0,0,1
83,Milar,50.968,4.5,0.0,4.211,10.5,8.5,149.5,4,6,2,2
84,Alkios,47.452,4.5,0.0,4.242,8.75,11.75,148.0,12,12,0,4
91,Baikinman,46.032,5.0,1.0,4.116,7.5,11.0,118.5,2,10,0,2
103,mrwolf2,43.038,4.0,0.0,4.191,15.0,11.0,158.0,4,1,1,1
106,cafezinho,36.142,2.0,0.5,5.077,2.5,2.5,151.5,3,7,2,2
115,Saiki,27.48,3.5,1.75,4.688,6.5,3.75,145.0,10,12,2,4
121,Janoxx,24.533,0.0,0.5,4.56,5.0,2.5,122.0,9,3,0,2
143,mahzrunner,23.767,2.0,0.333,4.763,3.667,2.333,140.667,8,10,0,3
153,Poppysr,29.032,1.0,4.0,5.422,3.0,4.0,155.0,3,2,1,1
155,Unborned,17.143,0.0,0.0,5.333,2.0,3.0,140.0,3,3,0,1
221,Neumann,39.176,0.5,2.0,4.749,2.5,9.5,136.5,5,4,1,2
228,Dry,35.194,6.75,1.5,4.043,11.25,8.25,153.25,11,12,1,4
241,yasashiikumo,38.608,2.0,1.0,5.066,4.0,3.0,158.0,1,4,1,1
263,Tvaz,23.485,0.0,0.0,5.129,3.0,2.0,132.0,2,4,0,1
274,Mami,44.218,4.0,0.0,4.615,12.0,4.0,147.0,4,2,0,1
289,Provenance,33.537,3.5,1.0,5.046,4.5,3.5,165.5,5,6,1,2
307,kaededayo,35.2,3.0,0.0,3.932,9.0,9.0,125.0,3,3,0,1
327,Flato,33.752,2.0,0.5,4.709,6.0,4.0,143.0,14,8,2,4
335,xeyz,26.786,1.0,5.0,4.956,1.0,4.0,168.0,1,4,1,1
336,fiftypercentweeb,34.969,0.0,1.0,5.07,1.0,5.0,163.0,4,2,0,1
348,Heleos,30.263,0.0,1.0,5.478,1.0,4.0,152.0,3,3,0,1
382,Shiku,14.394,0.0,2.0,5.158,1.0,1.0,132.0,2,4,0,1
384,Miki_Hoshii,66.456,8.0,1.0,4.2,16.0,17.0,158.0,1,4,1,1
398,kabao,25.17,2.0,1.0,5.297,6.0,1.0,147.0,4,2,0,1
403,AnnaYanami,24.752,3.0,0.0,4.44,4.0,3.0,101.0,1,5,0,1
410,FoopyPoopy,8.824,1.0,6.0,5.917,2.0,0.0,136.0,1,5,0,1
416,OkitaNobu,19.76,1.0,5.0,5.667,3.0,0.0,167.0,2,2,2,1
422,MapleSyyrup,7.2,0.0,1.0,5.111,1.0,0.0,125.0,3,3,0,1
430,HaruUrara,29.885,1.0,1.0,4.115,7.0,5.0,174.0,3,3,0,1
