Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
1,atsui,16.746,0.0,3.0,5.783,2.5,0.0,148.0,7,4,1,2
14,ArronChu,64.884,6.333,2.0,4.027,10.333,16.333,138.0,11,4,1,3
20,kar72,54.033,1.0,0.0,4.531,4.5,18.0,123.0,5,5,0,2
37,claydoll1091,29.565,0.0,0.0,4.794,3.0,2.0,115.0,2,3,0,1
41,koroshiya,47.379,2.333,0.333,4.418,6.667,9.333,123.0,8,7,1,3
44,Nicole,36.879,0.0,1.0,4.846,4.0,1.0,141.0,3,1,1,1
45,LeNainDuPSG,48.039,3.0,1.0,4.429,9.0,5.0,102.0,3,2,0,1
46,Orfey,44.693,0.0,5.0,5.138,7.0,5.0,179.0,4,0,2,1
49,accelerator11,87.369,15.0,0.0,3.384,17.667,36.5,108.5,11,21,0,6
51,Chata,41.535,2.0,1.0,4.53,4.5,6.5,128.5,5,5,1,2
52,Thaleko,59.868,3.0,0.0,4.615,4.0,11.0,152.0,4,1,1,1
59,neoburnz,50.355,4.0,1.0,4.549,9.0,5.0,141.0,6,0,0,1
64,Yokipi,30.802,0.0,1.667,5.188,1.667,1.667,134.667,8,8,0,3
65,Baguett,60.632,5.0,0.0,3.928,8.5,14.0,108.5,5,5,0,2
72,ruuka,54.55,0.0,2.0,5.242,4.0,5.5,164.0,7,3,2,2
79,JuliAless64,42.124,1.0,0.0,4.952,3.0,5.0,150.5,7,4,0,2
80,moosepi,57.447,1.0,0.0,4.272,3.0,20.0,141.0,0,6,0,1
81,Pile,52.811,3.333,0.167,4.211,7.167,12.167,126.5,16,15,1,6
83,Milar,70.042,6.1,0.2,4.111,9.8,23.7,136.3,26,26,2,10
84,Alkios,66.05,4.0,0.333,4.076,8.833,22.667,134.5,14,15,2,6
85,Animerod,38.478,3.0,1.0,4.674,4.0,5.5,132.5,7,5,0,2
91,kishua,76.467,9.1,0.1,3.833,13.7,28.8,132.9,26,25,3,10
98,Comete,55.461,2.5,0.25,4.39,7.25,12.25,121.75,10,10,1,4
106,cafezinho,37.41,1.0,1.0,5.154,1.0,5.0,139.0,2,4,0,1
113,Maki04,44.755,0.0,0.0,4.828,2.0,7.0,143.0,4,2,0,1
115,Saiki,31.019,2.2,1.8,4.477,5.3,4.8,134.4,20,35,0,10
121,Janoxx,32.881,1.1,1.5,4.678,4.3,5.7,131.1,25,27,2,10
123,Konsumenci,32.036,1.7,1.1,4.796,3.8,3.9,129.5,24,29,1,10
126,shadismith,18.868,0.0,3.0,5.3,1.0,0.0,106.0,0,5,0,1
133,ChrisLefko,51.464,3.0,0.2,4.55,6.4,10.8,142.4,28,25,4,10
143,mahzrunner,23.122,0.4,0.9,5.264,2.0,1.1,128.0,32,21,1,10
144,liljakatsuragi,18.621,1.0,0.0,4.778,5.0,1.0,145.0,1,5,0,1
148,uy5gf,28.994,1.0,4.0,5.388,1.0,1.0,169.0,2,4,0,1
153,Poppysr,39.174,2.778,1.333,4.561,6.667,6.444,142.0,20,29,2,9
155,Unborned,22.738,0.0,1.0,5.385,0.5,1.25,105.25,5,15,0,4
160,Skychael,31.433,0.5,6.0,5.224,3.0,2.5,180.0,4,7,1,2
168,Lightning,30.108,0.0,1.5,5.561,0.5,3.5,131.0,7,4,0,2
169,yashadox,19.811,0.0,2.0,5.143,1.0,1.0,106.0,0,5,0,1
171,JustAWeirdo,9.184,0.0,3.0,5.444,0.0,1.0,98.0,3,2,0,1
174,TateyamaAyano,9.709,0.0,0.0,4.7,0.0,3.0,103.0,0,5,0,1
175,Kirox,31.458,0.25,0.25,5.154,1.75,2.25,132.0,9,12,0,4
177,oh95,47.582,3.0,0.125,4.56,5.625,8.75,127.625,16,26,0,8
181,Yolowolf75,50.35,3.0,0.0,4.653,5.0,8.0,143.0,1,3,1,1
194,Math1234,63.309,3.0,0.0,4.148,11.0,19.0,139.0,3,1,1,1
217,ShelterRin,27.174,0.0,1.0,5.28,0.0,2.0,92.0,2,3,0,1
228,Dry,31.206,1.0,3.0,4.295,5.0,4.0,141.0,4,2,0,1
241,yasashiikumo,24.789,0.5,2.0,5.194,1.5,2.0,134.0,4,5,1,2
263,Tvaz,46.225,3.0,0.3,4.465,6.7,8.3,135.2,28,22,5,10
268,civiltwlight,74.61,5.8,0.2,4.134,10.0,20.4,128.4,12,14,2,5
274,Mami,45.567,6.0,0.0,4.326,8.5,11.5,152.5,8,4,0,2
276,hmsuis,39.639,1.167,0.833,4.966,3.833,4.167,129.333,16,14,2,6
277,chemist,37.412,1.333,1.333,5.146,3.333,2.333,142.0,8,8,0,3
289,Provenance,32.015,2.0,0.5,4.958,4.0,2.75,125.25,11,9,1,4
291,ss_r_white_pony,15.116,0.0,0.0,5.692,0.0,0.0,86.0,2,3,0,1
292,FeyFey,19.824,0.5,1.8,5.091,1.7,1.8,129.5,23,33,0,10
317,Hyo,21.6,0.0,1.0,5.0,0.0,5.0,125.0,3,2,0,1
325,Swapin,32.811,0.667,0.0,5.278,2.667,1.0,118.667,6,8,1,3
326,pomo,19.811,2.0,1.0,5.286,2.0,0.0,106.0,1,4,0,1
327,Flato,50.506,2.3,0.3,4.642,5.8,8.0,143.8,26,30,2,10
330,_nadeshiko,61.378,8.5,0.0,4.012,12.5,15.0,140.0,6,5,0,2
332,Mangalodon,22.857,1.0,1.0,4.792,6.0,1.0,105.0,3,2,0,1
335,xeyz,21.094,0.0,1.0,5.0,2.0,1.0,128.0,1,4,0,1
336,fiftypercentweeb,38.044,1.333,0.667,4.859,4.667,2.333,127.333,11,5,0,3
338,ranny,18.627,1.0,3.0,4.684,3.0,0.0,102.0,4,2,0,1
339,Hibari,34.783,0.0,1.0,4.85,1.0,4.0,115.0,2,3,0,1
344,Naizuri,35.896,2.6,1.8,4.873,4.9,3.7,138.6,31,24,1,10
356,Isekaijoucho,18.966,1.0,5.0,5.409,2.0,0.0,116.0,4,1,0,1
363,Wiwmek,25.385,1.0,3.0,5.424,3.0,2.0,130.0,3,2,0,1
369,florenz,60.288,0.333,0.667,4.878,4.0,9.667,153.667,6,10,1,3
370,Andrey_K,27.53,1.5,1.5,5.042,5.5,1.0,127.5,5,6,0,2
376,qwecocacola,17.164,0.0,1.0,5.609,1.0,0.0,134.0,5,1,0,1
382,Shiku,32.848,0.4,0.9,5.154,1.5,3.3,133.4,26,24,3,10
384,Miki_Hoshii,82.184,11.5,0.333,3.944,15.167,28.667,140.333,18,14,1,6
386,Coglionedown,43.546,1.6,0.8,4.889,4.3,6.3,137.4,27,27,2,10
388,Tsuni,8.0,1.0,1.0,4.5,1.0,0.0,100.0,2,3,0,1
400,Vr0003,21.488,0.0,0.0,5.192,1.0,2.0,121.0,1,4,0,1
401,Spartric,30.888,0.8,1.2,5.23,2.5,1.8,141.2,28,28,2,10
403,AnnaYanami,38.77,1.0,0.333,4.987,3.5,3.333,124.333,18,12,2,6
405,anicomi,13.953,0.0,1.0,5.417,1.0,0.0,86.0,2,3,0,1
413,zokie,34.906,1.0,1.0,4.838,1.0,4.0,106.0,0,5,0,1
416,OkitaNobu,21.861,0.8,1.4,5.044,1.9,1.8,129.6,31,27,0,10
421,Cherryish,35.821,1.0,0.0,5.292,2.0,2.0,134.0,4,2,0,1
422,MapleSyyrup,23.998,2.333,3.333,4.506,4.667,2.333,126.0,3,12,1,3
430,HaruUrara,28.972,1.0,1.0,5.097,3.0,2.0,107.0,4,1,0,1
446,Hotpot,18.519,0.0,2.0,5.44,2.0,1.0,135.0,3,3,0,1
452,Kynn,58.076,3.333,0.833,4.562,7.167,9.667,137.833,17,13,3,6
453,RyoutaVN,20.31,0.333,1.667,5.45,0.667,1.0,130.333,8,9,0,3
455,l_elf10,33.993,2.9,1.5,4.618,5.5,5.0,130.0,27,27,1,10
466,metak,18.803,0.0,0.0,5.955,0.0,1.0,117.0,3,2,0,1
474,Nomu,7.383,0.0,6.0,5.182,0.0,1.0,149.0,4,2,0,1
477,FurLain,28.906,1.0,0.0,4.324,4.0,5.0,128.0,1,3,1,1
511,CH0K0,47.531,2.0,0.0,4.714,6.0,3.0,162.0,4,2,0,1
