Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
16,2026-05-21 18:41:49,125.0,yahallonyanpasu,37.349,106.224,3,8,4,4.258,26,0,0,37.349,14,8,62,166,6,0,0,69.091,21.622,33.133,55,11,4,38,17,2,0,3.782,24
27,2026-07-31 12:04:35,132.85,Deafness,78.022,179.761,5,7,0,4.711,47,0,0,78.022,16,26,142,182,7,3,2,86.614,56.098,77.473,141,10,8,119,22,8,0,4.291,23
34,2026-05-21 18:41:49,140.0,YuriMeguri,70.76,187.199,4,11,0,4.38,44,0,0,70.76,13,25,121,171,2,3,1,76.389,66.667,42.105,72,8,5,55,17,3,1,4.125,66
58,2026-05-25 15:51:09,140.97,Lika,58.065,189.043,7,8,0,3.759,24,0,0,58.065,17,8,54,93,3,2,0,93.548,40.323,33.333,31,10,2,29,2,0,0,2.871,25
59,2026-07-20 14:19:07,147.374,neoburnz,74.603,182.613,7,8,0,4.905,35,0,0,74.603,14,25,126,191,11,20,1,95.556,62.963,44.578,74,8,1,68,7,3,2,4.541,74
66,2026-07-31 12:04:35,110.0,bamboo,50.292,89.745,4,2,3,5.058,23,0,0,50.292,9,14,86,171,3,3,0,100,36.567,21.637,37,7,0,37,0,0,0,4.676,49
72,2026-07-31 12:04:35,100.0,ruuka,56.725,101.259,5,9,5,4.959,26,0,0,56.725,7,16,97,171,5,7,0,76.744,36.471,50.292,86,8,2,66,25,5,0,4.465,31
77,2026-05-21 18:41:49,121.68,neptune,62.048,143.131,1,9,0,4.544,33,0,0,62.048,6,29,103,166,9,2,0,95.652,45.055,41.566,69,6,2,66,4,2,0,4.174,41
79,2026-05-21 18:41:49,130.61,JuliAless64,56.579,110.129,2,9,0,5.372,18,0,0,56.579,5,13,86,152,2,9,0,79.688,32.432,51.316,78,7,3,62,16,4,0,4.731,24
82,2026-05-25 15:51:09,138.263,ShiinaMahiru,68.939,169.452,5,8,1,5.044,46,0,0,68.939,17,23,95,144,15,11,1,96.667,60.784,26.619,38,4,0,38,2,1,2,4.763,64
97,2026-07-31 12:04:35,105.0,chaabdu92,40.0,73.3,4,5,4,5.417,14,0,0,40,6,5,72,180,7,4,0,92.157,19.38,30.769,51,6,4,47,9,1,0,4.922,25
100,2026-04-30 15:50:01,113.74,IrinaShidou,58.955,123.948,2,9,0,4.519,24,0,0,58.955,5,9,79,134,3,2,0,78.082,36.066,54.478,73,5,3,57,16,1,0,3.918,22
119,2026-07-31 12:04:35,127.639,Fumiii,73.214,158.241,8,9,0,5.328,42,0,0,73.214,16,24,123,191,25,30,2,97.849,42.667,55.357,94,10,2,91,10,4,1,5.146,39
121,2026-06-20 01:57:10,102.53,Janoxx,34.821,133.253,11,8,5,4.727,23,0,0,34.821,18,5,44,171,10,11,1,92.857,19.78,18.75,21,14,1,21,1,0,1,3.35,24
134,2026-04-30 15:50:01,110.0,Jakemonkey,43.284,102.193,3,9,0,4.414,21,0,0,43.284,11,3,58,134,3,2,0,87.879,28.713,24.627,33,2,1,29,4,0,0,3.97,29
143,2026-06-12 12:26:12,122.596,mahzrunner,58.219,124.431,5,8,0,4.976,31,0,0,58.219,16,12,88,161,15,13,0,87.302,41.758,41.007,63,11,2,55,11,2,2,4.582,39
144,2026-07-31 12:04:35,100.87,liljakatsuragi,54.945,82.342,1,2,0,5.462,24,0,0,54.945,7,8,100,182,6,6,0,92,33.028,41.209,75,4,1,69,6,2,0,5.032,36
149,2026-07-31 12:04:35,122.14,Zozo,65.934,125.085,7,7,2,5.0,28,0,0,65.934,14,13,120,182,11,16,1,90.385,54.31,41.29,66,7,3,57,10,3,2,4.606,63
150,2026-07-20 14:19:07,114.049,Bommie,66.013,132.657,6,8,3,5.268,33,0,0,66.013,15,17,101,168,18,14,1,95.714,41.026,54.225,82,5,2,77,6,2,1,5.109,32
159,2026-07-31 12:04:35,88.11,legrandort,42.308,64.624,4,6,4,5.424,15,0,0,42.308,7,9,77,182,13,10,0,96,21.97,29.24,50,5,0,48,3,0,0,5.12,29
164,2026-06-12 12:26:12,81.79,IAmAsianNoob,44.643,48.263,0,5,3,5.651,8,0,0,44.643,3,3,75,168,4,8,0,91.489,26.446,27.976,47,4,1,43,7,2,0,5.298,32
171,2026-07-12 00:28:30,90.628,JustAWeirdo,36.986,68.056,2,9,4,5.804,12,0,0,36.986,5,6,56,162,11,22,1,91.176,24.818,22.137,34,9,3,31,3,0,0,5.48,34
